symptom,disease
Anxiety and Feeling irritable,PTSD
Anxiety and Feeling irritable,Anxiety
Anxiety and Feeling sick or nausea,Anxiety
Anxiety and Feeling sick or nausea,Claustrophobia
Anxiety and Feeling sick or nausea,Fear of open spaces
Anxiety and Sweating,Claustrophobia
Anxiety and Sweating,Fear of open spaces
"Anxiety, Feeling heart beat and Sweating",Fear of open spaces
"Anxiety, Feeling heart beat and Sweating",Claustrophobia
"Anxiety, Feeling sick or nausea and Feeling heart beat",Claustrophobia
"Anxiety, Feeling sick or nausea and Feeling heart beat",Anxiety
"Anxiety, Feeling sick or nausea and Feeling heart beat",Fear of open spaces
"Anxiety, Feeling sick or nausea and Sweating",Fear of open spaces
"Anxiety, Feeling sick or nausea and Sweating",Claustrophobia
Back pain,Inflammation of pancreas
Back pain,Back pain
Back stiffness,Ankylosing spondylitis
Back stiffness,Back pain
Bleeding between periods,Endometriosis
Bleeding between periods,Carcinoma of cervix
Bleeding between periods,Pelvic Inflammatory Disease
Bleeding between periods,Chlamydia
Bleeding between periods,Ectopic pregnancy
Bleeding between periods,Endometrial Cancer
Bleeding between periods,Vaginal Cancer
Bleeding between periods and Pain during sex,Chlamydia
Bleeding between periods and Pain during sex,Pelvic Inflammatory Disease
Bleeding gums and or mouth,Gum disease
Bleeding gums and or mouth,Mouth cancer
Bleeding gums and or mouth,Haemophilia A
Blistering rash,Chickenpox
Blistering rash,Impetigo
Blistering rash,Shingles
"Blisters on chest, abdomen or back",Shingles
"Blisters on chest, abdomen or back",Chickenpox
"Blisters on chest, abdomen or back and Blistering rash",Shingles
"Blisters on chest, abdomen or back and Blistering rash",Chickenpox
Bloated stomach,Liver cancer
Bloated stomach,Lactose intolerance
Bloated stomach,Premenstrual tension syndrome
Bloated stomach,Stomach Cancer
Bloated stomach,Gluten Intolerance
Bloated stomach,Diverticulitis
Bloated stomach,Ovarian cyst
Bloated stomach,Irritable bowel syndrome
Bloated stomach,Systemic sclerosis
Bloated stomach,Ovarian Cancer
Bloated stomach and Abdominal pain,Irritable bowel syndrome
Bloated stomach and Abdominal pain,Gluten Intolerance
Bloated stomach and Abdominal pain after eating,Irritable bowel syndrome
Bloated stomach and Abdominal pain after eating,Lactose intolerance
Bloated stomach and Burning pain in chest or upper abdomen,Stomach Cancer
Bloated stomach and Burning pain in chest or upper abdomen,Systemic sclerosis
Bloated stomach and Change in bowel habit,Irritable bowel syndrome
Bloated stomach and Change in bowel habit,Diverticulitis
"Bloated stomach and Continuous, unexplained weight loss",Ovarian Cancer
"Bloated stomach and Continuous, unexplained weight loss",Liver cancer
"Bloated stomach and Continuous, unexplained weight loss",Gluten Intolerance
"Bloated stomach and Continuous, unexplained weight loss",Stomach Cancer
Bloated stomach and Diarrhoea,Gluten Intolerance
Bloated stomach and Diarrhoea,Lactose intolerance
Bloated stomach and Diarrhoea,Irritable bowel syndrome
Bloated stomach and Feel full quickly,Ovarian Cancer
Bloated stomach and Feel full quickly,Liver cancer
Bloated stomach and Lower abdominal pain,Ovarian cyst
Bloated stomach and Lower abdominal pain,Diverticulitis
Bloated stomach and Lower abdominal pain,Ovarian Cancer
Bloated stomach and Pain in the pelvic region,Ovarian cyst
Bloated stomach and Pain in the pelvic region,Ovarian Cancer
Bloated stomach and Passing excessive wind,Irritable bowel syndrome
Bloated stomach and Passing excessive wind,Lactose intolerance
Bloated stomach and Passing excessive wind,Gluten Intolerance
Bloated stomach and Passing excessive wind,Diverticulitis
Bloated stomach and Unusually tired,Gluten Intolerance
Bloated stomach and Unusually tired,Liver cancer
Bloated stomach and Vomiting,Liver cancer
Bloated stomach and Vomiting,Diverticulitis
"Bloated stomach, Abdominal pain and Diarrhoea",Irritable bowel syndrome
"Bloated stomach, Abdominal pain and Diarrhoea",Gluten Intolerance
"Bloated stomach, Abdominal pain and Passing excessive wind",Irritable bowel syndrome
"Bloated stomach, Abdominal pain and Passing excessive wind",Gluten Intolerance
"Bloated stomach, Diarrhoea and Abdominal pain after eating",Lactose intolerance
"Bloated stomach, Diarrhoea and Abdominal pain after eating",Irritable bowel syndrome
"Bloated stomach, Diarrhoea and Passing excessive wind",Lactose intolerance
"Bloated stomach, Diarrhoea and Passing excessive wind",Gluten Intolerance
"Bloated stomach, Diarrhoea and Passing excessive wind",Irritable bowel syndrome
"Bloated stomach, Feel full quickly and Continuous, unexplained weight loss",Ovarian Cancer
"Bloated stomach, Feel full quickly and Continuous, unexplained weight loss",Liver cancer
"Bloated stomach, Pain in the pelvic region and Lower abdominal pain",Ovarian Cancer
"Bloated stomach, Pain in the pelvic region and Lower abdominal pain",Ovarian cyst
"Bloated stomach, Passing excessive wind and Abdominal pain after eating",Irritable bowel syndrome
"Bloated stomach, Passing excessive wind and Abdominal pain after eating",Lactose intolerance
"Bloated stomach, Passing excessive wind and Change in bowel habit",Diverticulitis
"Bloated stomach, Passing excessive wind and Change in bowel habit",Irritable bowel syndrome
"Bloated stomach, Unusually tired and Continuous, unexplained weight loss",Liver cancer
"Bloated stomach, Unusually tired and Continuous, unexplained weight loss",Gluten Intolerance
Blocked nose,Fifth Disease
Blocked nose,Croup
Blocked nose,Nasopharyngeal cancer
Blocked nose,Hay fever
Blocked nose,Sinusitis
Blocked nose,Allergic rhinitis
Blocked nose,Cold
Blocked nose,Roseola
Blocked nose,Bronchiolitis
Blocked nose,Inflammation of the nose
Blocked nose and Change of voice,Diphtheria
Blocked nose and Change of voice,Croup
Blocked nose and Change of voice,Nasopharyngeal cancer
Blocked nose and Excessive sneezing,Measles
Blocked nose and Excessive sneezing,Cold
Blocked nose and Excessive sneezing,Allergic rhinitis
Blocked nose and Excessive sneezing,Inflammation of the nose
Blocked nose and Excessive sneezing,Hay fever
Blocked nose and Itchy eyes,Allergic rhinitis
Blocked nose and Itchy eyes,Hay fever
Blocked nose and Runny nose,Croup
Blocked nose and Runny nose,Fifth Disease
Blocked nose and Runny nose,Diphtheria
Blocked nose and Runny nose,Measles
Blocked nose and Runny nose,Bronchiolitis
Blocked nose and Runny nose,Cold
Blocked nose and Runny nose,Inflammation of the nose
Blocked nose and Runny nose,Hay fever
Blocked nose and Runny nose,Roseola
Blocked nose and Runny nose,Allergic rhinitis
Blocked nose and Sore throat,Measles
Blocked nose and Sore throat,Diphtheria
Blocked nose and Sore throat,Cold
Blocked nose and Sore throat,Roseola
Blocked nose and Swollen glands in neck,Diphtheria
Blocked nose and Swollen glands in neck,Nasopharyngeal cancer
Blocked nose and Unusually tired,Diphtheria
Blocked nose and Unusually tired,Measles
Blocked nose and Watery eyes,Measles
Blocked nose and Watery eyes,Hay fever
Blocked nose and Watery eyes,Allergic rhinitis
"Blocked nose, Change of voice and Runny nose",Diphtheria
"Blocked nose, Change of voice and Runny nose",Croup
"Blocked nose, Change of voice and Swollen glands in neck",Diphtheria
"Blocked nose, Change of voice and Swollen glands in neck",Nasopharyngeal cancer
"Blocked nose, Excessive sneezing and Itchy eyes",Allergic rhinitis
"Blocked nose, Excessive sneezing and Itchy eyes",Hay fever
"Blocked nose, Excessive sneezing and Runny nose",Cold
"Blocked nose, Excessive sneezing and Runny nose",Measles
"Blocked nose, Excessive sneezing and Runny nose",Allergic rhinitis
"Blocked nose, Excessive sneezing and Runny nose",Inflammation of the nose
"Blocked nose, Excessive sneezing and Runny nose",Hay fever
"Blocked nose, Excessive sneezing and Sore throat",Measles
"Blocked nose, Excessive sneezing and Sore throat",Cold
"Blocked nose, Excessive sneezing and Watery eyes",Measles
"Blocked nose, Excessive sneezing and Watery eyes",Hay fever
"Blocked nose, Excessive sneezing and Watery eyes",Allergic rhinitis
"Blocked nose, Itchy eyes and Runny nose",Hay fever
"Blocked nose, Itchy eyes and Runny nose",Allergic rhinitis
"Blocked nose, Itchy eyes and Watery eyes",Allergic rhinitis
"Blocked nose, Itchy eyes and Watery eyes",Hay fever
"Blocked nose, Runny nose and Watery eyes",Measles
"Blocked nose, Runny nose and Watery eyes",Allergic rhinitis
"Blocked nose, Runny nose and Watery eyes",Hay fever
"Blocked nose, Sore throat and Runny nose",Roseola
"Blocked nose, Sore throat and Runny nose",Diphtheria
"Blocked nose, Sore throat and Runny nose",Measles
"Blocked nose, Sore throat and Runny nose",Cold
"Blocked nose, Sore throat and Unusually tired",Measles
"Blocked nose, Sore throat and Unusually tired",Diphtheria
"Blocked nose, Unusually tired and Runny nose",Measles
"Blocked nose, Unusually tired and Runny nose",Diphtheria
Blood in stool or poo,Diverticulitis
Blood in stool or poo,Bowel Cancer
Blood in stool or poo,Anal ulcer or blister
Blood in stool or poo,Anal Cancer
Blood in stool or poo,Anal fistula
Blood in stool or poo,Piles
Blood in stool or poo and Anal lump,Anal Cancer
Blood in stool or poo and Anal lump,Piles
Blood in stool or poo and Change in bowel habit,Bowel Cancer
Blood in stool or poo and Change in bowel habit,Diverticulitis
Blood in stool or poo and Itchy anus,Anal fistula
Blood in stool or poo and Itchy anus,Piles
Blood in stool or poo and Pain when passing stools,Anal ulcer or blister
Blood in stool or poo and Pain when passing stools,Anal Cancer
Blood in stool or poo and Pain when passing stools,Anal fistula
Blood in stool or poo and Pain when passing stools,Piles
"Blood in stool or poo, Itchy anus and Pain when passing stools",Piles
"Blood in stool or poo, Itchy anus and Pain when passing stools",Anal fistula
"Blood in stool or poo, Pain when passing stools and Anal lump",Piles
"Blood in stool or poo, Pain when passing stools and Anal lump",Anal Cancer
Bloody diarrhoea,Ulcerative colitis
Bloody diarrhoea,Crohn's disease
Bloody diarrhoea and Change in bowel habit,Ulcerative colitis
Bloody diarrhoea and Change in bowel habit,Crohn's disease
Bloody diarrhoea and Mucus in stool or  poo,Ulcerative colitis
Bloody diarrhoea and Mucus in stool or  poo,Crohn's disease
Bloody diarrhoea and Unusually tired,Crohn's disease
Bloody diarrhoea and Unusually tired,Ulcerative colitis
"Bloody diarrhoea, Change in bowel habit and Unusually tired",Crohn's disease
"Bloody diarrhoea, Change in bowel habit and Unusually tired",Ulcerative colitis
"Bloody diarrhoea, Mucus in stool or  poo and Change in bowel habit",Crohn's disease
"Bloody diarrhoea, Mucus in stool or  poo and Change in bowel habit",Ulcerative colitis
"Bloody diarrhoea, Mucus in stool or  poo and Unusually tired",Ulcerative colitis
"Bloody diarrhoea, Mucus in stool or  poo and Unusually tired",Crohn's disease
Blue fingers and or toes,Chilblains
Blue fingers and or toes,Systemic sclerosis
Blurred vision,Carcinoma in situ of eye
Blurred vision,Subarachnoid haemorrhage
Blurred vision,Congenital cataract
Blurred vision,Uveitis
Blurred vision,Glaucoma
Blurred vision,Exudative age-related macular degeneration
Blurred vision,High pressure headache
Blurred vision,Cataract
Blurred vision,Retinal detachment
Blurred vision and Eye pain,Carcinoma in situ of eye
Blurred vision and Eye pain,Uveitis
Blurred vision and Eye pain,Glaucoma
Blurred vision and Reduced vision,Cataract
Blurred vision and Reduced vision,Congenital cataract
Blurred vision and Reduced vision,Uveitis
Blurred vision and Reduced vision,Glaucoma
Blurred vision and Reduced vision,Retinal detachment
Blurred vision and Severe headache,Subarachnoid haemorrhage
Blurred vision and Severe headache,High pressure headache
"Blurred vision, Eye pain and Reduced vision",Uveitis
"Blurred vision, Eye pain and Reduced vision",Glaucoma
Breast pain,Infection of the breast
Breast pain,Premenstrual tension syndrome
Breast pain,Breast abscess
Breast pain,Cyclical breast pain
Breast pain and Redness of the breast,Breast abscess
Breast pain and Redness of the breast,Infection of the breast
Burning pain in chest or upper abdomen,Systemic sclerosis
Burning pain in chest or upper abdomen,Oesophageal Cancer
Burning pain in chest or upper abdomen,Peptic ulcer
Burning pain in chest or upper abdomen,Stomach Cancer
Burning pain in chest or upper abdomen,Achalasia
Burning pain in chest or upper abdomen,Acid reflux
"Burning pain in chest or upper abdomen and Continuous, unexplained weight loss",Stomach Cancer
"Burning pain in chest or upper abdomen and Continuous, unexplained weight loss",Oesophageal Cancer
"Burning pain in chest or upper abdomen and Continuous, unexplained weight loss",Achalasia
Burning pain in chest or upper abdomen and Feeling sick or nausea,Stomach Cancer
Burning pain in chest or upper abdomen and Feeling sick or nausea,Oesophageal Cancer
Burning pain in chest or upper abdomen and Food sticks on swallowing,Systemic sclerosis
Burning pain in chest or upper abdomen and Food sticks on swallowing,Achalasia
Burning pain in chest or upper abdomen and Food sticks on swallowing,Oesophageal Cancer
Burning pain in chest or upper abdomen and Upper abdominal pain,Stomach Cancer
Burning pain in chest or upper abdomen and Upper abdominal pain,Peptic ulcer
Burning pain in chest or upper abdomen and Upper abdominal pain,Acid reflux
"Burning pain in chest or upper abdomen, Feeling sick or nausea and Continuous, unexplained weight loss",Oesophageal Cancer
"Burning pain in chest or upper abdomen, Feeling sick or nausea and Continuous, unexplained weight loss",Stomach Cancer
"Burning pain in chest or upper abdomen, Food sticks on swallowing and Continuous, unexplained weight loss",Oesophageal Cancer
"Burning pain in chest or upper abdomen, Food sticks on swallowing and Continuous, unexplained weight loss",Achalasia
Buttock pain,Ankylosing spondylitis
Buttock pain,Shooting pain down back of leg
Change in bowel habit,Ulcerative colitis
Change in bowel habit,Bowel Cancer
Change in bowel habit,Crohn's disease
Change in bowel habit,Irritable bowel syndrome
Change in bowel habit,Diverticulitis
Change in bowel habit and Stomach cramps,Irritable bowel syndrome
Change in bowel habit and Stomach cramps,Crohn's disease
Change in bowel habit and Unusually tired,Ulcerative colitis
Change in bowel habit and Unusually tired,Crohn's disease
Change of voice,Laryngeal Cancer
Change of voice,Croup
Change of voice,Diphtheria
Change of voice,Laryngitis
Change of voice,Tonsillitis
Change of voice,Epiglottitis
Change of voice,Nasopharyngeal cancer
Change of voice and Runny nose,Diphtheria
Change of voice and Runny nose,Croup
Change of voice and Sore throat,Laryngitis
Change of voice and Sore throat,Tonsillitis
Change of voice and Sore throat,Diphtheria
Change of voice and Swollen glands in neck,Diphtheria
Change of voice and Swollen glands in neck,Nasopharyngeal cancer
Change of voice and Unusually tired,Tonsillitis
Change of voice and Unusually tired,Diphtheria
Change of voice and White spots on tonsils,Tonsillitis
Change of voice and White spots on tonsils,Diphtheria
"Change of voice, Sore throat and Unusually tired",Tonsillitis
"Change of voice, Sore throat and Unusually tired",Diphtheria
"Change of voice, White spots on tonsils and Sore throat",Tonsillitis
"Change of voice, White spots on tonsils and Sore throat",Diphtheria
"Change of voice, White spots on tonsils and Unusually tired",Diphtheria
"Change of voice, White spots on tonsils and Unusually tired",Tonsillitis
Chest pain,SVT
Chest pain,Heart attack
Chest pain,Pericarditis
Chest pain and Shortness of breath,SVT
Chest pain and Shortness of breath,Pericarditis
Chest pain and Sudden chest pain,Heart attack
Chest pain and Sudden chest pain,Pericarditis
Chest pain and Unusually tired,SVT
Chest pain and Unusually tired,Pericarditis
Chest pain on physical effort,Pulmonary Embolism
Chest pain on physical effort,Angina pectoris
"Chest pain, Shortness of breath and Unusually tired",SVT
"Chest pain, Shortness of breath and Unusually tired",Pericarditis
"Chest pain, worse on breathing in",Pulmonary Embolism
"Chest pain, worse on breathing in",Costochondritis
Chest tightness,Heart attack
Chest tightness,Acid reflux
Chest tightness,Asthma
Chest tightness,Asthma Attack
Cloudy urine,Cystitis
Cloudy urine,Urinary tract infection in children
Confused or muddled,Encephalitis
Confused or muddled,Subdural hemorrhage
Confused or muddled,Alzheimer's disease
Confused or muddled,Aneurysm
Confused or muddled,Major head injury
Confused or muddled and Confusion which is new,Major head injury
Confused or muddled and Confusion which is new,Encephalitis
Confused or muddled and Confusion which is new,Aneurysm
Confusion which is new,Major head injury
Confusion which is new,Aneurysm
Confusion which is new,Alcohol poisoning
Confusion which is new,Epilepsy
Confusion which is new,Encephalitis
Constipation,Irritable bowel syndrome
Constipation,Typhoid fever
Constipation,Under-active Thyroid
Constipation,Constipation
Constipation and Diarrhoea,Irritable bowel syndrome
Constipation and Diarrhoea,Typhoid fever
Constipation and Stomach cramps,Irritable bowel syndrome
Constipation and Stomach cramps,Constipation
Constipation and Unusually tired,Typhoid fever
Constipation and Unusually tired,Under-active Thyroid
"Continuous, unexplained weight loss",Non-Hodgkin's lymphoma
"Continuous, unexplained weight loss",Bladder Cancer
"Continuous, unexplained weight loss",Overactive Thyroid
"Continuous, unexplained weight loss",Lung cancer
"Continuous, unexplained weight loss",Crohn's disease
"Continuous, unexplained weight loss",Breast Cancer
"Continuous, unexplained weight loss",TB
"Continuous, unexplained weight loss",Stomach Cancer
"Continuous, unexplained weight loss",Gluten Intolerance
"Continuous, unexplained weight loss",Type 2 diabetes
Cough,Croup
Cough,Rubella
Cough,Roseola
Cough,Lung cancer
Cough,Asthma
Cough,Chest infection
Cough,Tonsillitis
Cough,TB
Cough,Granulomatosis with polyangiitis
Cough and Blocked nose,Roseola
Cough and Blocked nose,Croup
Cough and Change of voice,Tonsillitis
Cough and Change of voice,Croup
"Cough and Continuous, unexplained weight loss",Lung cancer
"Cough and Continuous, unexplained weight loss",TB
Cough and Excessive sweating at night,Granulomatosis with polyangiitis
Cough and Excessive sweating at night,TB
Cough and High temperature,Granulomatosis with polyangiitis
Cough and High temperature,Roseola
Cough and High temperature,Croup
Cough and High temperature,Chest infection
Cough and High temperature,Rubella
Cough and High temperature,Tonsillitis
Cough and Runny nose,Croup
Cough and Runny nose,Roseola
Cough and Shortness of breath,Chest infection
Cough and Shortness of breath,Asthma
Cough and Shortness of breath,Lung cancer
Cough and Shortness of breath,Croup
Cough and Skin rash,Rubella
Cough and Skin rash,Roseola
Cough and Sore throat,Tonsillitis
Cough and Sore throat,Roseola
Cough and Unusually tired,TB
Cough and Unusually tired,Lung cancer
Cough and Unusually tired,Chest infection
Cough and Unusually tired,Tonsillitis
Cough which produces mucus,Bronchitis
Cough which produces mucus,Acute heart failure
Cough which produces mucus,Congestive heart failure
Cough which produces mucus,Chronic obstructive lung disease
Cough which produces mucus,Chest infection
Cough which produces mucus,Acute exacerbation of COPD
Cough which produces mucus,Bronchiectasis
Cough which produces mucus,Cystic fibrosis
Cough which produces mucus and Unusually tired,Bronchiectasis
Cough which produces mucus and Unusually tired,Congestive heart failure
Cough which produces mucus and Unusually tired,Chest infection
"Cough, Blocked nose and Runny nose",Roseola
"Cough, Blocked nose and Runny nose",Croup
"Cough, High temperature and Blocked nose",Croup
"Cough, High temperature and Blocked nose",Roseola
"Cough, High temperature and Change of voice",Croup
"Cough, High temperature and Change of voice",Tonsillitis
"Cough, High temperature and Runny nose",Roseola
"Cough, High temperature and Runny nose",Croup
"Cough, High temperature and Sore throat",Roseola
"Cough, High temperature and Sore throat",Tonsillitis
"Cough, High temperature and Unusually tired",Tonsillitis
"Cough, High temperature and Unusually tired",Chest infection
"Cough, Shortness of breath and High temperature",Croup
"Cough, Shortness of breath and High temperature",Chest infection
"Cough, Shortness of breath and Unusually tired",Chest infection
"Cough, Shortness of breath and Unusually tired",Lung cancer
"Cough, Skin rash and High temperature",Roseola
"Cough, Skin rash and High temperature",Rubella
"Cough, Unusually tired and Continuous, unexplained weight loss",Lung cancer
"Cough, Unusually tired and Continuous, unexplained weight loss",TB
Diarrhoea,Bowel Cancer
Diarrhoea,Malaria
Diarrhoea,Irritable bowel syndrome
Diarrhoea,Overactive Thyroid
Diarrhoea,Crohn's disease
Diarrhoea,Gluten Intolerance
Diarrhoea,Alcoholic liver disease
Diarrhoea,Lactose intolerance
Diarrhoea,Ulcerative colitis
Diarrhoea,Gastroenteritis
Diarrhoea and Abdominal pain after eating,Lactose intolerance
Diarrhoea and Abdominal pain after eating,Irritable bowel syndrome
Diarrhoea and Bloody diarrhoea,Ulcerative colitis
Diarrhoea and Bloody diarrhoea,Crohn's disease
Diarrhoea and Change in bowel habit,Ulcerative colitis
Diarrhoea and Change in bowel habit,Bowel Cancer
Diarrhoea and Change in bowel habit,Crohn's disease
Diarrhoea and Change in bowel habit,Irritable bowel syndrome
"Diarrhoea and Continuous, unexplained weight loss",Crohn's disease
"Diarrhoea and Continuous, unexplained weight loss",Gluten Intolerance
"Diarrhoea and Continuous, unexplained weight loss",Overactive Thyroid
Diarrhoea and Feeling sick or nausea,Gastroenteritis
Diarrhoea and Feeling sick or nausea,Typhoid fever
Diarrhoea and Feeling sick or nausea,Alcoholic liver disease
Diarrhoea and Headache,Typhoid fever
